Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
CAD IT SPA;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;risorseumane@caditgroup.comroup.com;0458211111;VR;VIA TORRICELLI, 44/A - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ASSOCIAZIONE VERONA FABLAB;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
AUTOFFICINA DE TOGNI SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;amministrazione@detogniauto.it;045545922;VR;VIA G. CARDUCCI, 52 - ZEVIO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
AUTOFFICINA DE TOGNI SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;amministrazione@detogniauto.it;045545922;VR;VIA G. CARDUCCI, 52 - ZEVIO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
CAD IT SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;risorseumane@caditgroup.comroup.com;0458211111;VR;VIA TORRICELLI, 44/A - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;sezionepersonale@agec.it;0458051311;VR;VIA NORIS 1 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
MARTINI CARLO SNC DI MARTINI VALENTINO E FAGIANI STEFANO & C.;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;amministrazione@martiniascensori.it ;;VR;VIA MONTE COMUN 69 - SAN GIOVANNI LUPATOTO;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
QUADRANTE SERVIZI S.R.L.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;elena@quadranteservizi.it;045952447;VR;VIA SOMMACAMPAGNA, 61 - VERONA;;
BCUBE;3BL TRASPORTI E LOGISTICA ART. LOGISTICA;marco.nicoletti@bcube.com;3371511576;VR;VIA GUMPERT 1 - VERONA;LOG04 Tecnico approvvigionatore e responsabile acquisti\n\n\n;Assistono gli specialisti negli acquisti sul mercato di beni, attrezzature, materie prime e forniture di servizi ovvero attivano e seguono le procedure di valutazione dei prezzi di mercato, della qualità e delle caratteristiche delle merci da acquistare, di scelta dei fornitori e di acquisizione dei beni\n\n\n\n
TELEFIN SPA;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@telefin.it;0458100404;VR;VIA ALBERE, 87/A - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
TELEFIN SPA;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@telefin.it;0458100404;VR;VIA ALBERE, 87/A - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
SITEM S.R.L.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;sistem@sistemautomazione.com;0458600997;VR;VIA STAFFALI, 44/H - VILLAFRANCA DI VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
UCICAR S.N.C. DI RINCO A. & C.;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;contabilita@ucicar.it;0456350091;VR;VIA VITTORIO VENETO, 69 - POVEGLIANO VERONESE;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;Progetti di Alternanza Scuola-Lavoro classi Terze\n\n;Esperienze di tirocinio presso soggetti ospitanti esterni per le classi 3^\n\n
BERTI MACCHINE AGRICOLE SPA;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@bertima.it;0456139711;VR;VIA MUSI, 1/A-3 - CALDIERO;Progetti di Alternanza Scuola-Lavoro classi Terze\n\n;Esperienze di tirocinio presso soggetti ospitanti esterni per le classi 3^\n\n
GEWIN SRL;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@gewin-informatica.com;0458904253;VR;VIA SARDEGNA 1F - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
VICENTINI SPA;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n
RFI RETE FERROVIARIA ITALIANA;5AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;;;VR;Piazzale XXV Aprile - VERONA;ELN02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n
ELECTRO ENERGY SRL;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;electroenergy@libero.it;0456698119;VR;VIA DELL'INDUSTRIA ,6 - VIGASIO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
TOR MEC AMBROSI S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;tormec@legalmail.it;0456050205;VR;VIA MAESTRI DEL LAVORO,16 - ZEVIO;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
RTC SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n\n
OFFICE AUTOMATION S.R.L.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;francesca.grego@officeautomation.it;0458002529;VR;VIALE DEL COMMERCIO 10/C - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
INFOGEST SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@infogestsrl.it;;VR;VIA FRATELLI CERVI 4 F - SONA;TLC03 - Amministratore di sistemi\n\n\n;Le professioni comprese in questa unità analizzano, progettano, sviluppano sistemi informatici, controllandone e garantendone le prestazioni ottimali e la sicurezza. Definiscono le modalità di configurazione, di mantenimento e di gestione di reti di computer, dei relativi ambienti di elaborazione e delle operazioni di disaster recovery predispongono le procedure di monitoraggio delle prestazioni dei sistemi informatici e delle reti.\n\n\n
STT SERVICE TELEMATICI TELEFONICI SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@aovr.veneto.it;0458124000;VR;PIAZZALE STEFANI 1 - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
INSIEME COOPERATIVA SOCIALE;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;segreteria@coopinsieme.it;0458650538;VR;VIA COLONIA ORFANI DI GUERRA, 2 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
SYATEC SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@syatec.it;0457952342;VR;VIA DELL'ARTIGIANATO,10 - NOGAROLE ROCCA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n\n
LEONI IMPIANTI SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@leonimpianti.it;045515011;VR;VIA DEL COMMERCIO 9A - SOMMACAMPAGNA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
S C SISTEMI DI CASSA SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@scsistemi.net;;VR;VIA PIEMONTE 7 - LUGAGNANO DI SONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n\n
AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;sezionepersonale@agec.it;0458051311;VR;VIA NORIS 1 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
CANEVAWORLD RESORT SRL;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;germana.amicabile@canevaworld.it;0456969900;VR;VIA FOSSALTA, 58 - LAZISE;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
FROMM PACKAGING AUTOMATION SRL;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;leardinie@fromm-pack.com;;VR;VIALE DEL LAVORO, 21/A - CAPRINO VERONESE;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
FROMM PACKAGING AUTOMATION SRL;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;leardinie@fromm-pack.com;;VR;VIALE DEL LAVORO, 21/A - CAPRINO VERONESE;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
SCATTOLINI SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;mrighetti@scattolini.com;0456334972;PV;VIA FERRARI 1 - VALEGGIO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
FULCRO SRL UNIPERSONALE;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@fulcro.net;0458890026;VR;VIALE BRENNERO 27 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
METALPOINT SRLS;5BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;metalpointsrls@gmail.com;0456584286;VR;VIA DEL LAVORO 5/B - VIGASIO;ELN05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n
ACCIAIERIE DI VERONA;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;riccardo.olivieri@pittini.it;0458058515;UD;ZONA INDUSTRIALE RIVOLI - OSOPPO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
NETSYSCO SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@netsysco.net;0456838352;VR;VIA G.CAMPOSTRINI 50 - SAN PIETRO IN CARIANO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
16 TELEFONIA SAS;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;16telefonia@gmail.com;0456930482;VR;VIA MANTOVANA 91/C - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
VALUE TRANSFORMATION SERVICE;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;;VR;VIA DELLA MECCANICA 7 - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n\n
TERMINALI ITALIA S.R.L. FF.SS;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;info@terminaliitalia.it;0458624411;VR;VIA SOMMACAMPAGNA 32 - VERONA;LOG06 Tecnico del trasporto modale ed intermodale \n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n
TERMINALI ITALIA S.R.L. FF.SS;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;info@terminaliitalia.it;0458624411;VR;VIA SOMMACAMPAGNA 32 - VERONA;LOG06 Tecnico del trasporto modale ed intermodale \n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n
GARDALAND SRL;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;hr@gardaland.it;0456449839;VR;VIA DERNA 4 - CASTELNUOVO DEL GARDA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
VALDOTECH S.A.S.;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;domenico.zantedeschi@gmail.com;0456800068;VR;VIA GIOVANNI FALCONE,1 - SAN PIETRO IN CARIANO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
VALUE TRANSFORMATION SERVICE;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;;VR;VIA DELLA MECCANICA 7 - VERONA;INF08 - ADDETTO ALLA SICUREZZA INFORMATICA\n;Le professioni comprese in questa unità disegnano, coordinano ed implementano le misure di sicurezza dei sistemi informativi per regolare gli accessi ai dati e prevenire accessi non autorizzati.\n
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
ASSOCIAZIONE NAZIONALE MUTILATI ED INVALIDI CIVILI DI VERONA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;045 8013437;VR;VIA SANTA MARIA ROCCA MAGGIORE - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
TERMINALI ITALIA S.R.L. FF.SS;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@terminaliitalia.it;0458624411;VR;VIA SOMMACAMPAGNA 32 - VERONA;LOG06 Tecnico del trasporto modale ed intermodale \n\n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n\n
RFI RETE FERROVIARIA ITALIANA;5AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;;;VR;Piazzale XXV Aprile - VERONA;ELN02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n
RFI RETE FERROVIARIA ITALIANA;5AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;;;VR;Piazzale XXV Aprile - VERONA;;
DE NALE ANGELO - AUTOFFICINA;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;autodenale@hotmail.it;045 7300602;VR;VIA ARTIGIANATO, 9/A - ISOLA DELLA SCALA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
NOVA SYSTEMS SERVICES S.R.L.;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;bavesani@novasystems.it;0458788211;VR;VIALE DEL LAVORO, 39 - SAN MARTINO BUON ALBERGO;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
MG LAB SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@mglabsrl.it;0456704064;VR;VIA DELL'AGRICOLTURA 7 - BUSSOLENGO;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
ASSOCIAZIONE VERONA FABLAB;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;TLC08 - Installatori, manutentori e riparatori di apparecchiature informatiche\n\n\n\n\n\n\n\n\n\n\n\n;\nLe professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, manutengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n\n
BISSOLI F.LLI SRL;5DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@bissolicarrozzeria.it;0457130122;VR;QUAIOTTO , 108 - OPPEANO;INF03 - Tecnico gestore di database\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, sviluppano e collaudano i sistemi di gestione di banche dati, garantendone e controllandone le prestazioni ottimali e la sicurezza. Definiscono e predispongono i sistemi di backup e le procedure per preservare la sicurezza e l'integrità dei dati.\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FabLab - AlternaLab - IOT\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n
ALCOFER S.R.L.;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;sara@alcofer.it;045500051;VR;VIA SALISBURGO, 5 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ASSOCIAZIONE VERONA FABLAB;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
